Year,County,Offense Type,Number of Arrests
2015,Arapahoe,MJUnknown,9
2015,Archuleta,MJPossession,18
2015,Archuleta,MJUnknown,1
2015,Baca,MJPossession,1
2015,Basalt PD,MJPossession,3
2015,Bent,MJPossession,1
2015,Boulder,MJPossession,347
2015,Boulder,MJProduction,7
2015,Boulder,MJSales,5
2015,Boulder,MJUnknown,38
2015,Broomfield,MJPossession,75
2015,Broomfield,MJSales,2
2015,Broomfield,MJUnknown,15
2015,Chaffee,MJPossession,9
2015,Chaffee,MJSales,1
2015,Chaffee,MJUnknown,3
2015,Clear Creek,MJPossession,10
2015,Crowley,MJPossession,1
2015,Custer,MJProduction,1
2015,Custer,MJUnknown,3
2015,Delta,MJPossession,2
2015,Denver,MJPossession,1051
2015,Denver,MJProduction,16
2015,Denver,MJSales,58
2015,Denver,MJUnknown,2
2015,Douglas,MJPossession,256
2015,Douglas,MJSales,1
2015,Douglas,MJUnknown,1
2015,Eagle,MJPossession,100
2015,Eagle,MJProduction,1
2015,Eagle,MJSales,1
2015,Eagle,MJUnknown,17
2015,El Paso,MJPossession,455
2015,El Paso,MJProduction,3
2015,El Paso,MJSales,24
2015,El Paso,MJSmuggle,1
2015,El Paso,MJUnknown,11
2015,Elbert,MJPossession,6
2015,Elbert,MJProduction,1
2015,Fremont,MJPossession,3
2015,Fremont,MJProduction,1
2015,Fremont,MJSales,2
2015,Fremont,MJUnknown,6
2015,Garfield,MJPossession,81
2015,Garfield,MJUnknown,7
2015,Gilpin,MJPossession,5
2015,Gilpin,MJProduction,1
2015,Gunnison,MJPossession,47
2015,Gunnison,MJProduction,2
2015,Huerfano,MJPossession,5
2015,Huerfano,MJProduction,1
2015,Jefferson,MJPossession,802
2015,Jefferson,MJProduction,15
2015,Jefferson,MJSales,7
2015,Jefferson,MJUnknown,59
2015,Kit Carson,MJPossession,16
2015,Kit Carson,MJUnknown,1
2015,La Plata,MJPossession,40
2015,La Plata,MJUnknown,25
2015,Larimer,MJPossession,308
2015,Larimer,MJProduction,7
2015,Larimer,MJSales,10
2015,Larimer,MJUnknown,94
2015,Las Animas,MJUnknown,1
2015,Lincoln,MJSmuggle,1
2015,Location not Available,MJPossession,303
2015,Location not Available,MJProduction,1
2015,Location not Available,MJSales,11
2015,Location not Available,MJSmuggle,1
2015,Location not Available,MJUnknown,24
2015,Logan,MJPossession,34
2015,Mesa,MJPossession,293
2015,Mesa,MJProduction,10
2015,Mesa,MJSales,11
2015,Mesa,MJUnknown,83
2015,Moffat,MJPossession,29
2015,Montezuma,MJPossession,6
2015,Montrose,MJPossession,37
2015,Montrose,MJProduction,1
2015,Montrose,MJUnknown,1
2015,Morgan,MJPossession,9
2015,Morgan,MJUnknown,1
2015,Otero,MJPossession,14
2015,Park,MJProduction,2
2015,Phillips,MJPossession,1
2015,Pitkin,MJPossession,5
2015,Pitkin,MJSales,2
2015,Prowers,MJPossession,2
2015,Prowers,MJSales,1
2015,Pueblo,MJPossession,18
2015,Pueblo,MJUnknown,3
2015,Rio Blanco,MJPossession,11
2015,Rio Grande,MJPossession,10
2015,Rio Grande,MJSales,1
2015,Routt,MJPossession,35
2015,Routt,MJProduction,3
2015,Routt,MJSales,1
2015,Routt,MJUnknown,6
2015,Saguache,MJPossession,2
2015,Southwest Drug Task Force,MJProduction,1
2015,Southwest Drug Task Force,MJSmuggle,1
2015,Summit,MJPossession,14
2015,Summit,MJUnknown,8
2015,Teller,MJPossession,19
2015,Teller,MJSales,3
2015,Teller,MJUnknown,3
2015,Washington,MJPossession,1
2015,Weld,MJPossession,257
2015,Weld,MJProduction,6
2015,Weld,MJSales,4
2015,Weld,MJUnknown,3
2016,Adams,MJPossession,611
2016,Adams,MJProduction,20
2016,Adams,MJSales,8
2016,Adams,MJUnknown,75
2016,Alamosa,MJPossession,4
2016,Alamosa,MJUnknown,11
2016,Arapahoe,MJPossession,535
2016,Arapahoe,MJProduction,128
2016,Arapahoe,MJSales,13
2016,Arapahoe,MJSmuggle,3
2016,Arapahoe,MJUnknown,9
2016,Archuleta,MJPossession,8
2016,Archuleta,MJSales,2
2016,Archuleta,MJUnknown,1
2016,Baca,MJSales,2
2016,Boulder,MJPossession,409
2016,Boulder,MJProduction,2
2016,Boulder,MJSales,11
2016,Boulder,MJUnknown,30
2016,Broomfield,MJPossession,108
2016,Broomfield,MJProduction,1
2016,Broomfield,MJSales,1
2016,Broomfield,MJUnknown,4
2016,Chaffee,MJPossession,18
2016,Chaffee,MJUnknown,1
2016,Clear Creek,MJPossession,2
2016,Custer,MJProduction,1
2016,Custer,MJUnknown,1
2016,Delta,MJPossession,22
2016,Delta,MJUnknown,2
2016,Denver,MJPossession,496
2016,Denver,MJProduction,42
2016,Denver,MJSales,74
2016,Denver,MJUnknown,1
2016,Douglas,MJPossession,257
2016,Douglas,MJProduction,2
2016,Douglas,MJSales,6
2016,Douglas,MJUnknown,6
2016,Eagle,MJPossession,80
2016,Eagle,MJSales,1
2016,Eagle,MJUnknown,15
2016,El Paso,MJPossession,499
2016,El Paso,MJProduction,3
2016,El Paso,MJSales,32
2016,El Paso,MJUnknown,18
2016,Elbert,MJPossession,4
2016,Fremont,MJPossession,1
2016,Fremont,MJProduction,2
2016,Fremont,MJUnknown,3
2016,Garfield,MJPossession,73
2016,Garfield,MJSales,1
2016,Garfield,MJUnknown,14
2016,Gilpin,MJPossession,2
2016,Gilpin,MJUnknown,1
2016,Grand,MJPossession,2
2016,Gunnison,MJPossession,29
2016,Gunnison,MJUnknown,4
2016,Hinsdale,MJPossession,2
2016,Huerfano,MJPossession,3
2016,Huerfano,MJProduction,6
2016,Jefferson,MJPossession,826
2016,Jefferson,MJProduction,11
2016,Jefferson,MJSales,8
2016,Jefferson,MJUnknown,36
2016,Kit Carson,MJPossession,10
2016,Kit Carson,MJSales,2
2016,La Plata,MJPossession,54
2016,La Plata,MJUnknown,15
2016,Lake,MJPossession,1
2016,Lake,MJUnknown,1
2016,Larimer,MJPossession,393
2016,Larimer,MJProduction,13
2016,Larimer,MJSales,17
2016,Larimer,MJSmuggle,1
2016,Larimer,MJUnknown,90
2016,Lincoln,MJSmuggle,1
2016,Location not Available,MJPossession,246
2016,Location not Available,MJSales,5
2016,Location not Available,MJSmuggle,1
2016,Location not Available,MJUnknown,18
2016,Logan,MJPossession,17
2016,Mesa,MJPossession,247
2016,Mesa,MJProduction,11
2016,Mesa,MJSales,20
2016,Mesa,MJUnknown,57
2016,Moffat,MJPossession,45
2016,Moffat,MJSales,2
2016,Montezuma,MJPossession,10
2016,Montrose,MJPossession,31
2016,Montrose,MJSales,1
2016,Montrose,MJUnknown,1
2016,Morgan,MJPossession,17
2016,Morgan,MJProduction,1
2016,Otero,MJPossession,4
2016,Otero,MJProduction,1
2016,Park,MJProduction,2
2016,Park,MJSales,1
2016,Phillips,MJPossession,2
2016,Pitkin,MJPossession,4
2016,Prowers,MJPossession,3
2016,Prowers,MJProduction,2
2016,Prowers,MJSales,1
2016,Prowers,MJSmuggle,1
2016,Pueblo,MJPossession,40
2016,Pueblo,MJSales,1
2016,Pueblo,MJUnknown,2
2016,Rio Blanco,MJPossession,3
2016,Rio Grande,MJPossession,6
2016,Routt,MJPossession,46
2016,Routt,MJUnknown,1
2016,San Miguel County SO,MJProduction,4
2016,Summit,MJPossession,12
2016,Summit,MJUnknown,8
2016,Teller,MJPossession,26
2016,Teller,MJProduction,1
2016,Teller,MJSales,5
2016,Washington,MJPossession,2
2016,Weld,MJPossession,244
2016,Weld,MJProduction,3
2016,Weld,MJSales,7
2016,Weld,MJSmuggle,1
2016,Weld,MJUnknown,14
2017,Adams,MJPossession,627
2017,Adams,MJProduction,21
2017,Adams,MJSales,9
2017,Adams,MJUnknown,111
2017,Alamosa,MJPossession,12
2017,Alamosa,MJUnknown,11
2017,Arapahoe,MJPossession,442
2017,Arapahoe,MJProduction,120
2017,Arapahoe,MJSales,8
2017,Arapahoe,MJUnknown,12
2017,Archuleta,MJPossession,2
2017,Archuleta,MJUnknown,4
2017,Boulder,MJPossession,613
2017,Boulder,MJProduction,2
2017,Boulder,MJSales,4
2017,Boulder,MJSmuggle,1
2017,Boulder,MJUnknown,43
2017,Bow Mar PD,MJPossession,1
2017,Broomfield,MJPossession,108
2017,Chaffee,MJPossession,8
2017,Chaffee,MJSales,2
