IncidentYear,County,Agency,NCICCODE,AgeGroup,Gender,RaceCode,Location,LocationGroup,NumberOfCases
2015,Gunnison,Gunison PD,MJPossession,,,,Field/Woods,Public space,1
2015,Gunnison,Gunison PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2015,Gunnison,Gunison PD,MJPossession,,,,Specialty Store,Specialty Store,2
2015,Gunnison,Gunnison County SO,MJPossession,,,,Residence/Home,Residence/Home,1
2015,Gunnison,Mt Crested Butte PD,MJPossession,,,,Bar/Nightclub,Bar/Nightclub,1
2015,Gunnison,PD CRESTED BUTTE,MJPossession,,,,Bar/Nightclub,Bar/Nightclub,1
2015,Jefferson,Arvada PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,53
2015,Jefferson,Arvada PD,MJPossession,,,,Other/Unknown,Other,5
2015,Jefferson,Arvada PD,MJPossession,,,,Residence/Home,Residence/Home,12
2015,Jefferson,Arvada PD,MJPossession,,,,School – College/University,School – College/University,3
2015,Jefferson,DPS - COLORADO SCHOOL OF MINES - GOLDEN,MJUnknown,,,,School – College/University,School – College/University,2
2015,Jefferson,Edgewater PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2015,Jefferson,Jefferson County SO,MJPossession,,,,Field/Woods,Public space,3
2015,Jefferson,Jefferson County SO,MJPossession,,,,Grocery/Supermarket,Retail site/bank/restaurant/bar,2
2015,Jefferson,Jefferson County SO,MJPossession,,,,Restaurant,Restaurant,1
2015,Jefferson,Jefferson County SO,MJProduction,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2015,Jefferson,Jefferson County SO,MJUnknown,,,,Arena/Stadium/Fairgrounds/Coliseum,Public space,1
2015,Jefferson,Jefferson County SO,MJUnknown,,,,Residence/Home,Residence/Home,2
2015,Jefferson,Lakewood PD,MJPossession,,,,Air/Bus/Train Terminal,Public space,3
2015,Jefferson,Lakewood PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,7
2015,Jefferson,Lakewood PD,MJPossession,,,,Other/Unknown,Other,16
2015,Jefferson,Lakewood PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,4
2015,Jefferson,Lakewood PD,MJPossession,,,,Residence/Home,Residence/Home,5
2015,Jefferson,Lakewood PD,MJPossession,,,,School – College/University,School – College/University,6
2015,Jefferson,Lakewood PD,MJUnknown,,,,Church/Synagogue/Temple/Mosque,Church/Synagogue/Temple/Mosque,1
2015,Jefferson,Lakewood PD,MJUnknown,,,,Restaurant,Restaurant,1
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,5
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,1
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,Residence/Home,Residence/Home,2
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,School – College/University,School – College/University,6
2015,Garfield,Parachute PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,14
2015,Garfield,Parachute PD,MJPossession,,,,Residence/Home,Residence/Home,2
2015,Grand,Fraser/Winter Park PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2015,Grand,Granby PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2015,Gunnison,PD CRESTED BUTTE,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2015,Huerfano,Walsenburg PD,MJPossession,,,,Park/Playground,Public space,2
2015,Huerfano,Walsenburg PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2015,Jefferson,Arvada PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,1
2015,Jefferson,Arvada PD,MJPossession,,,,Field/Woods,Public space,9
2015,Jefferson,Arvada PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,59
2015,Jefferson,Arvada PD,MJPossession,,,,Service/Gas Station,Retail site/bank/restaurant/bar,1
2015,Jefferson,Arvada PD,MJProduction,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,Jefferson,Arvada PD,MJSales,,,,Other/Unknown,Other,1
2015,Jefferson,Edgewater PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2015,Jefferson,Edgewater PD,MJUnknown,,,,School – College/University,School – College/University,1
2015,Jefferson,Golden PD,MJPossession,,,,Church/Synagogue/Temple/Mosque,Church/Synagogue/Temple/Mosque,1
2015,Jefferson,Golden PD,MJPossession,,,,Field/Woods,Public space,1
2015,Jefferson,Golden PD,MJPossession,,,,Other/Unknown,Other,1
2015,Jefferson,Golden PD,MJPossession,,,,Park/Playground,Public space,3
2015,Jefferson,Golden PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,9
2015,Jefferson,Jefferson County SO,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,28
2015,Jefferson,Jefferson County SO,MJSales,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2015,Jefferson,Jefferson County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,Jefferson,Lakeside PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2015,Jefferson,Lakewood PD,MJPossession,,,,Grocery/Supermarket,Retail site/bank/restaurant/bar,3
2015,Jefferson,Lakewood PD,MJUnknown,,,,Convenience Store,Retail site/bank/restaurant/bar,1
2015,Jefferson,Lakewood PD,MJUnknown,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2015,Jefferson,Lakewood PD,MJUnknown,,,,School – Elementary/Secondary,School – Elementary/Secondary,3
2015,Jefferson,Red Rocks PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,Park/Playground,Public space,3
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,23
2015,Jefferson,Wheat Ridge PD,MJPossession,,,,Specialty Store,Specialty Store,1
2015,Kit Carson,Burlington PD,MJPossession,,,,Park/Playground,Public space,1
2015,Kit Carson,Kit Carson County SO,MJUnknown,,,,Residence/Home,Residence/Home,1
2015,La Plata,Durango PD,MJPossession,,,,Convenience Store,Retail site/bank/restaurant/bar,2
2015,La Plata,Durango PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,6
2015,La Plata,Durango PD,MJPossession,,,,Shopping Mall,Retail site/bank/restaurant/bar,1
2015,La Plata,Fort Lewis College PD,MJPossession,,,,Field/Woods,Public space,2
2015,La Plata,PD BAYFIELD,MJPossession,,,,Residence/Home,Residence/Home,3
2015,Larimer,DPS - COLORADO STATE UNIVERSITY-FT COLLINS,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,2
2015,Larimer,DPS - COLORADO STATE UNIVERSITY-FT COLLINS,MJPossession,,,,School – College/University,School – College/University,28
