CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,,,,,,,,,,,
(Thousands of current dollars) ,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,
County,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
6007,"Butte, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",203479,214008,234283,250401,273111,302185,325753,351517,381547
6007,"Butte, CA",76,"      Arts, entertainment, and recreation",29662,30868,31416,32807,35910,37525,42421,46093,50203
6007,"Butte, CA",79,      Accommodation and food services,173817,183140,202867,217594,237201,264660,283332,305424,331343
6007,"Butte, CA",82,    Other services (except government and government enterprises),245806,243517,248558,249291,256705,264335,275584,285992,302455
6007,"Butte, CA",83,Government and government enterprises,1080607,1123814,1119739,1163451,1225280,1336087,1381860,1443119,1507344
6007,"Butte, CA",,Addenda:,,,,,,,,,
6007,"Butte, CA",87,Natural resources and mining,502549,492695,446485,695095,409217,315599,325956,302325,357658
6007,"Butte, CA",88,Trade,841756,871527,914879,974727,1020801,1104450,1101441,1170869,1241896
6007,"Butte, CA",89,Transportation and utilities,493538,601849,463673,449432,340517,336855,549094,638368,475844
6007,"Butte, CA",90,Manufacturing and information,459766,462219,496915,544988,555954,600196,616638,642794,662123
6007,"Butte, CA",91,Private goods-producing industries 2/,1210199,1149641,1066930,1389130,1127774,1101353,1141008,1155743,1341808
6007,"Butte, CA",92,Private services-providing industries 3/,5267191,5488886,5495629,5789018,5935959,6326023,6808692,7264104,7483844
6009,"Calaveras, CA",1,All industry total,1203551,1238834,1160530,1193781,1258136,1344809,1480543,1622265,1642450
6009,"Calaveras, CA",2,  Private industries,1011967,1046285,963526,985822,1044352,1114224,1220378,1356666,1364938
6009,"Calaveras, CA",3,"    Agriculture, forestry, fishing and hunting",6787,8553,22088,19830,26382,22504,14855,22120,20061
6009,"Calaveras, CA",6,"    Mining, quarrying, and oil and gas extraction",1340,1319,1353,1057,802,663,778,1231,1387
6009,"Calaveras, CA",10,    Utilities,89068,128618,54934,44586,41393,39250,86181,156424,72046
6009,"Calaveras, CA",11,    Construction,119928,105570,92242,84641,83919,88276,91816,105340,117253
6009,"Calaveras, CA",12,    Manufacturing,24347,21976,21235,21265,21703,22892,23034,23342,28413
6009,"Calaveras, CA",13,      Durable goods manufacturing,11863,12464,12980,13186,12628,13125,13124,13066,17110
6009,"Calaveras, CA",25,      Nondurable goods manufacturing,12484,9512,8255,8079,9075,9767,9910,10277,11303
6009,"Calaveras, CA",34,    Wholesale trade,13740,16720,16246,19044,20832,24314,26816,23334,24660
6009,"Calaveras, CA",35,    Retail trade,60291,61825,60791,61389,62606,68304,73094,79639,84421
6009,"Calaveras, CA",36,    Transportation and warehousing,14817,15336,15049,15390,16419,16990,19006,17907,18145
6009,"Calaveras, CA",45,    Information,15160,16204,17681,18489,18867,24165,27241,26513,27759
6009,"Calaveras, CA",50,"    Finance, insurance, real estate, rental, and leasing",418058,421702,412196,437596,476855,507356,545092,573722,614071
6009,"Calaveras, CA",51,      Finance and insurance,23230,24363,23167,22119,23238,23748,25870,16957,17594
6009,"Calaveras, CA",56,      Real estate and rental and leasing,394827,397339,389029,415477,453617,483608,519222,556765,596476
6009,"Calaveras, CA",59,    Professional and business services,119969,120432,123834,131339,133678,143935,156072,162166,180333
6009,"Calaveras, CA",60,"      Professional, scientific, and technical services",34349,31868,31192,31692,(D),40493,40202,(D),(D)
6009,"Calaveras, CA",64,      Management of companies and enterprises,(D),(D),(D),(D),(D),85631,89941,(D),(D)
6009,"Calaveras, CA",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),18648,17810,25929,28048,29378
6009,"Calaveras, CA",68,"    Educational services, health care, and social assistance",44957,43923,41539,46739,50126,51084,54036,56339,60143
6009,"Calaveras, CA",69,      Educational services,1476,(D),(D),1602,1573,1317,(D),(D),2021
6009,"Calaveras, CA",70,      Health care and social assistance,43481,(D),(D),45137,48553,49767,(D),(D),58122
6009,"Calaveras, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",40795,44606,44336,45220,48398,58586,58053,64219,68222
6009,"Calaveras, CA",76,"      Arts, entertainment, and recreation",9220,9663,9382,9084,8878,13988,15516,17471,18294
6009,"Calaveras, CA",79,      Accommodation and food services,31575,34943,34954,36136,39521,44598,42538,46749,49928
6009,"Calaveras, CA",82,    Other services (except government and government enterprises),42711,39503,40003,39238,42373,45905,44303,44370,48024
